Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,0.5
Temperature Correction,0.0
Reference diff Voltage,200.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS0,54400
PS1,54400
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,5V,12V,10.38V,-12V,PS,61.3V
19.6800,27.3750,10.2400,6.3181,5.0372,11.9089,10.5793,-11.9866,57.2323,62.7450
19.8000,27.3750,10.2400,6.3172,5.0188,11.9096,10.5799,-11.9859,57.2323,62.7390
19.9200,27.3750,10.2400,6.2981,5.0378,11.9068,10.5799,-11.9859,57.2571,62.7420
20.0400,27.3750,10.2400,6.3153,5.0262,11.9082,10.5799,-11.9859,57.2199,62.7420
20.1600,27.3750,10.2400,6.2838,5.0188,11.9089,10.5793,-11.9859,57.1539,62.7390
20.2800,27.3750,10.2400,6.2972,5.0384,11.9075,10.5793,-11.9859,57.2426,62.7450
20.4000,27.3750,10.2400,6.3238,5.0262,11.9116,10.5793,-11.9866,57.1869,62.7390
20.5200,27.3750,10.2400,6.2934,5.0372,11.9068,10.5786,-11.9859,57.2323,62.7450
20.6400,27.3750,10.2400,6.2416,5.0375,11.9082,10.5793,-11.9852,57.2344,62.7390
20.7600,27.3750,10.2400,6.3522,5.0262,11.9075,10.5793,-11.9859,57.1539,62.7390
20.8800,27.3750,10.2400,6.3125,5.0287,11.9068,10.5799,-11.9859,57.1869,62.7420
21.0000,27.3750,10.2400,6.2900,5.0372,11.9068,10.5799,-11.9859,57.2323,62.7360
21.1200,27.3750,10.2400,6.2744,5.0237,11.9082,10.5786,-11.9866,57.2509,62.7450
21.2400,27.3750,10.2400,6.2816,5.0188,11.9075,10.5799,-11.9866,57.2344,62.7360
21.3600,27.3125,10.2400,6.3306,5.0262,11.9075,10.5786,-11.9866,57.1704,62.7420
21.4800,27.3125,10.2400,6.3303,5.0237,11.9082,10.5793,-11.9852,57.2406,62.7420
21.6000,27.3750,10.2400,6.2981,5.0375,11.9041,10.5786,-11.9859,57.2179,62.7390
21.7200,27.3750,10.2400,6.2941,5.0287,11.9089,10.5793,-11.9852,57.2323,62.7390
21.8400,27.3750,10.2400,6.2894,5.0262,11.9047,10.5793,-11.9859,57.2344,62.7390
21.9600,27.3750,10.2400,6.2566,5.0188,11.9096,10.5793,-11.9859,57.2323,62.7450
22.0800,27.3750,10.2400,6.2725,5.0188,11.9096,10.5799,-11.9859,57.2323,62.7420
22.2000,27.3750,10.2400,6.2578,5.0287,11.9157,10.5799,-11.9859,57.2344,62.7420
22.3200,27.3750,10.2400,6.2697,5.0188,11.9089,10.5799,-11.9859,57.2303,62.7390
22.4400,27.3750,10.2400,6.3503,5.0375,11.9157,10.5786,-11.9866,57.2199,62.7390
22.5600,27.3750,10.2400,6.3241,5.0188,11.9047,10.5786,-11.9866,57.2488,62.7450
22.6800,27.3750,10.2400,6.2831,5.0375,11.9061,10.5799,-11.9859,57.2344,62.7390
22.8000,27.3750,10.2400,6.2550,5.0188,11.9082,10.5793,-11.9859,57.2344,62.7420
22.9200,27.3750,10.2400,6.3141,5.0372,11.9102,10.5793,-11.9866,57.2406,62.7390
23.0400,27.3750,10.2400,6.3047,5.0375,11.9041,10.5799,-11.9859,57.2426,62.7390
23.1600,27.3750,10.2400,6.2909,5.0394,11.9082,10.5793,-11.9859,57.2323,62.7450
23.2800,27.3750,10.2400,6.2944,5.0287,11.9102,10.5793,-11.9859,57.1539,62.7360
23.4000,27.3750,10.2400,6.2931,5.0384,11.9109,10.5793,-11.9859,57.2179,62.7450
23.5200,27.3750,10.2400,1.0372,5.0388,11.9068,10.5793,-11.9859,57.2426,62.7390
23.6400,27.3750,10.2400,0.0881,5.0375,11.9109,10.5799,-11.9866,57.2179,62.7450
23.7600,27.3750,10.2400,0.0847,5.0188,11.9102,10.5793,-11.9859,57.1869,62.7420
23.8800,27.3750,10.2400,0.0725,5.0262,11.9041,10.5793,-11.9859,57.1704,62.7390
24.0000,27.3750,10.2400,0.0712,5.0262,11.9137,10.5793,-11.9852,57.2344,62.7420
24.1200,27.3750,10.2400,0.0591,5.0262,11.9075,10.5799,-11.9859,57.2406,62.7360
24.2400,27.3750,10.2400,0.0634,5.0381,11.9075,10.5793,-11.9859,57.1539,62.7390
24.3600,27.3750,10.2400,0.0463,5.0394,11.9047,10.5793,-11.9852,57.1849,62.7390
24.4800,27.3750,10.2400,0.0309,5.0363,11.9109,10.5793,-11.9859,57.2344,62.7390
24.6000,27.3750,10.2400,0.0650,5.0381,11.9102,10.5793,-11.9859,57.2323,62.7420
24.7200,27.3750,10.2400,0.0678,5.0237,11.9116,10.5793,-11.9859,57.2323,62.7390
24.8400,27.3750,10.2400,0.0587,5.0394,11.9157,10.5799,-11.9866,57.1539,62.7420
24.9600,27.3750,10.2400,0.0675,5.0188,11.9102,10.5793,-11.9859,57.2447,62.7390
25.0800,27.3750,10.2400,0.0431,5.0375,11.9089,10.5793,-11.9859,57.2344,62.7450
25.2000,27.3750,10.2400,0.0856,5.0378,11.9082,10.5786,-11.9866,57.2467,62.7390
25.3200,27.3750,10.2400,0.0669,5.0287,11.9075,10.5793,-11.9859,57.2344,62.7420
